Name,Calories (kcal),Total fat (g),Saturated fat (g),Cholesterol (mg),Sodium (mg),Total carbohydrate (g),Dietary fiber (g),Sugars (g),Protein (g),Vitamin D (mcg),Calcium (mg),Iron (mg),Potassium (mg),Category,Concentrated fruit and vegetable (%),FNVL (%),Health Star Rating
Scallop ceviche,96.0,2.5,0.4,19.0,306.0,9.5,0.7,1.6,10.0,0.0,12.0,0.5,235.1,2,0,0,4.0
Chicken quesadilla,216.0,10.0,4.8,37.0,368.0,19.0,1.5,1.3,12.0,0.1,98.0,1.4,178.4,2,0,0,3.5
Churros,396.0,29.0,2.0,0.0,168.0,32.0,0.7,19.0,1.8,0.0,7.0,0.3,21.0,2,0,0,2.5
Clam chowder,79.0,3.9,0.0,0.0,343.0,8.3,1.0,0.2,2.6,0.0,15.0,0.5,175.0,2,0,0,3.5
Corn chowder,103.0,8.2,5.2,25.0,179.0,6.5,0.5,1.5,1.4,0.3,18.0,0.3,101.1,2,0,0,2.5
Crab chowder,92.0,5.8,3.6,45.0,136.0,4.1,0.4,1.0,6.0,0.1,45.0,0.3,175.4,2,0,0,3.5
Seafood chowder,103.0,5.9,3.6,36.0,201.0,4.8,0.4,1.0,7.6,0.2,33.0,0.6,222.8,2,0,0,3.5
Salmon chowder,119.0,6.6,3.5,33.0,366.0,7.5,0.6,2.7,8.1,3.0,163.0,0.4,203.7,2,0,0,3.0
Crab cake,173.0,11.0,1.7,75.0,613.0,7.1,0.6,1.4,11.0,0.1,71.0,1.0,204.0,2,0,0,3.0
Croque madame,199.0,11.0,5.5,82.0,475.0,16.0,0.8,2.9,10.0,0.9,132.0,1.4,144.5,2,0,0,3.0
Dumpling,230.0,5.4,1.4,3.5,846.0,39.0,1.2,1.6,6.2,0.4,259.0,0.9,122.4,2,0,0,2.5
Soup dumplings,182.0,6.3,2.1,26.0,395.0,21.0,1.6,1.2,9.9,0.1,37.0,1.6,186.1,2,0,0,3.5
Fried dumpling,211.0,10.0,2.3,25.0,375.0,20.0,1.3,1.0,9.4,0.1,38.0,1.4,187.4,2,0,0,3.5
Chicken dumplings,196.0,5.3,1.5,49.0,560.0,23.0,1.1,0.4,14.0,0.0,30.0,1.9,362.6,2,0,0,3.5
